region,state,code,park_name,type,visitors,year
PW,CA,CHIS,Channel Islands National Park,National Park,525882,1995
PW,CA,CHIS,Channel Islands National Park,National Park,490715,1996
PW,CA,CHIS,Channel Islands National Park,National Park,488757,1997
PW,CA,CHIS,Channel Islands National Park,National Park,574270,1998
PW,CA,CHIS,Channel Islands National Park,National Park,607057,1999
PW,CA,CHIS,Channel Islands National Park,National Park,482571,2000
PW,CA,CHIS,Channel Islands National Park,National Park,520428,2001
PW,CA,CHIS,Channel Islands National Park,National Park,613935,2002
PW,CA,CHIS,Channel Islands National Park,National Park,585919,2003
PW,CA,CHIS,Channel Islands National Park,National Park,537716,2004
PW,CA,CHIS,Channel Islands National Park,National Park,434107,2005
PW,CA,CHIS,Channel Islands National Park,National Park,375256,2006
PW,CA,CHIS,Channel Islands National Park,National Park,360806,2007
PW,CA,CHIS,Channel Islands National Park,National Park,332177,2008
PW,CA,CHIS,Channel Islands National Park,National Park,348745,2009
PW,CA,CHIS,Channel Islands National Park,National Park,277515,2010
PW,CA,CHIS,Channel Islands National Park,National Park,242756,2011
PW,CA,CHIS,Channel Islands National Park,National Park,249594,2012
PW,CA,CHIS,Channel Islands National Park,National Park,212029,2013
PW,CA,CHIS,Channel Islands National Park,National Park,342161,2014
PW,CA,CHIS,Channel Islands National Park,National Park,324816,2015
PW,CA,CHIS,Channel Islands National Park,National Park,364807,2016
PW,CA,DEVA,Death Valley National Park,National Park,9970,1933
PW,CA,DEVA,Death Valley National Park,National Park,19678,1934
PW,CA,DEVA,Death Valley National Park,National Park,42061,1935
PW,CA,DEVA,Death Valley National Park,National Park,40815,1936
PW,CA,DEVA,Death Valley National Park,National Park,48874,1937
PW,CA,DEVA,Death Valley National Park,National Park,58320,1938
PW,CA,DEVA,Death Valley National Park,National Park,61301,1939
PW,CA,DEVA,Death Valley National Park,National Park,80842,1940
PW,CA,DEVA,Death Valley National Park,National Park,100829,1941
PW,CA,DEVA,Death Valley National Park,National Park,44755,1942
PW,CA,DEVA,Death Valley National Park,National Park,14374,1943
PW,CA,DEVA,Death Valley National Park,National Park,13661,1944
PW,CA,DEVA,Death Valley National Park,National Park,31112,1945
PW,CA,DEVA,Death Valley National Park,National Park,100976,1946
PW,CA,DEVA,Death Valley National Park,National Park,161953,1947
PW,CA,DEVA,Death Valley National Park,National Park,162150,1948
PW,CA,DEVA,Death Valley National Park,National Park,208557,1949
PW,CA,DEVA,Death Valley National Park,National Park,189045,1950
PW,CA,DEVA,Death Valley National Park,National Park,219520,1951
PW,CA,DEVA,Death Valley National Park,National Park,296106,1952
PW,CA,DEVA,Death Valley National Park,National Park,338899,1953
PW,CA,DEVA,Death Valley National Park,National Park,337900,1954
PW,CA,DEVA,Death Valley National Park,National Park,342200,1955
PW,CA,DEVA,Death Valley National Park,National Park,300100,1956
PW,CA,DEVA,Death Valley National Park,National Park,333400,1957
PW,CA,DEVA,Death Valley National Park,National Park,334300,1958
PW,CA,DEVA,Death Valley National Park,National Park,335700,1959
PW,CA,DEVA,Death Valley National Park,National Park,355900,1960
PW,CA,DEVA,Death Valley National Park,National Park,397900,1961
PW,CA,DEVA,Death Valley National Park,National Park,363400,1962
PW,CA,DEVA,Death Valley National Park,National Park,408100,1963
PW,CA,DEVA,Death Valley National Park,National Park,403600,1964
PW,CA,DEVA,Death Valley National Park,National Park,453000,1965
PW,CA,DEVA,Death Valley National Park,National Park,437800,1966
PW,CA,DEVA,Death Valley National Park,National Park,476700,1967
PW,CA,DEVA,Death Valley National Park,National Park,469600,1968
PW,CA,DEVA,Death Valley National Park,National Park,458800,1969
PW,CA,DEVA,Death Valley National Park,National Park,580500,1970
PW,CA,DEVA,Death Valley National Park,National Park,290900,1971
PW,CA,DEVA,Death Valley National Park,National Park,293999,1972
PW,CA,DEVA,Death Valley National Park,National Park,315400,1973
PW,CA,DEVA,Death Valley National Park,National Park,368800,1974
PW,CA,DEVA,Death Valley National Park,National Park,545500,1975
PW,CA,DEVA,Death Valley National Park,National Park,582400,1976
PW,CA,DEVA,Death Valley National Park,National Park,620400,1977
PW,CA,DEVA,Death Valley National Park,National Park,673610,1978
PW,CA,DEVA,Death Valley National Park,National Park,631152,1979
PW,CA,DEVA,Death Valley National Park,National Park,618140,1980
PW,CA,DEVA,Death Valley National Park,National Park,630402,1981
PW,CA,DEVA,Death Valley National Park,National Park,679992,1982
PW,CA,DEVA,Death Valley National Park,National Park,635582,1983
PW,CA,DEVA,Death Valley National Park,National Park,621197,1984
PW,CA,DEVA,Death Valley National Park,National Park,576679,1985
PW,CA,DEVA,Death Valley National Park,National Park,586668,1986
PW,CA,DEVA,Death Valley National Park,National Park,665345,1987
PW,CA,DEVA,Death Valley National Park,National Park,692267,1988
PW,CA,DEVA,Death Valley National Park,National Park,664449,1989
PW,CA,DEVA,Death Valley National Park,National Park,690965,1990
PW,CA,DEVA,Death Valley National Park,National Park,743608,1991
PW,CA,DEVA,Death Valley National Park,National Park,869183,1992
PW,CA,DEVA,Death Valley National Park,National Park,998474,1993
PW,CA,DEVA,Death Valley National Park,National Park,971487,1994
PW,CA,DEVA,Death Valley National Park,National Park,1109421,1995
PW,CA,DEVA,Death Valley National Park,National Park,1189215,1996
PW,CA,DEVA,Death Valley National Park,National Park,1188212,1997
PW,CA,DEVA,Death Valley National Park,National Park,1177746,1998
PW,CA,DEVA,Death Valley National Park,National Park,1227583,1999
PW,CA,DEVA,Death Valley National Park,National Park,1179094,2000
PW,CA,DEVA,Death Valley National Park,National Park,1014636,2001
PW,CA,DEVA,Death Valley National Park,National Park,897596,2002
PW,CA,DEVA,Death Valley National Park,National Park,890375,2003
PW,CA,DEVA,Death Valley National Park,National Park,764820,2004
PW,CA,DEVA,Death Valley National Park,National Park,800113,2005
PW,CA,DEVA,Death Valley National Park,National Park,744440,2006
PW,CA,DEVA,Death Valley National Park,National Park,704122,2007
PW,CA,DEVA,Death Valley National Park,National Park,871938,2008
PW,CA,DEVA,Death Valley National Park,National Park,828574,2009
PW,CA,DEVA,Death Valley National Park,National Park,984775,2010
PW,CA,DEVA,Death Valley National Park,National Park,946867,2011
PW,CA,DEVA,Death Valley National Park,National Park,984568,2012
PW,CA,DEVA,Death Valley National Park,National Park,951972,2013
PW,CA,DEVA,Death Valley National Park,National Park,1101312,2014
PW,CA,DEVA,Death Valley National Park,National Park,1154843,2015
PW,CA,DEVA,Death Valley National Park,National Park,1296283,2016
PW,CA,JOTR,Joshua Tree National Park,National Park,31285,1941
PW,CA,JOTR,Joshua Tree National Park,National Park,23691,1942
PW,CA,JOTR,Joshua Tree National Park,National Park,17414,1943
PW,CA,JOTR,Joshua Tree National Park,National Park,7640,1944
PW,CA,JOTR,Joshua Tree National Park,National Park,18275,1945
PW,CA,JOTR,Joshua Tree National Park,National Park,36605,1946
PW,CA,JOTR,Joshua Tree National Park,National Park,57801,1947
PW,CA,JOTR,Joshua Tree National Park,National Park,59157,1948
PW,CA,JOTR,Joshua Tree National Park,National Park,66991,1949
PW,CA,JOTR,Joshua Tree National Park,National Park,79129,1950
PW,CA,JOTR,Joshua Tree National Park,National Park,93615,1951
PW,CA,JOTR,Joshua Tree National Park,National Park,141416,1952
PW,CA,JOTR,Joshua Tree National Park,National Park,172423,1953
PW,CA,JOTR,Joshua Tree National Park,National Park,260700,1954
PW,CA,JOTR,Joshua Tree National Park,National Park,280600,1955
PW,CA,JOTR,Joshua Tree National Park,National Park,312900,1956
PW,CA,JOTR,Joshua Tree National Park,National Park,320300,1957
PW,CA,JOTR,Joshua Tree National Park,National Park,365300,1958
PW,CA,JOTR,Joshua Tree National Park,National Park,299600,1959
PW,CA,JOTR,Joshua Tree National Park,National Park,320100,1960
PW,CA,JOTR,Joshua Tree National Park,National Park,301500,1961
PW,CA,JOTR,Joshua Tree National Park,National Park,331500,1962
PW,CA,JOTR,Joshua Tree National Park,National Park,346300,1963
PW,CA,JOTR,Joshua Tree National Park,National Park,343400,1964
PW,CA,JOTR,Joshua Tree National Park,National Park,336000,1965
PW,CA,JOTR,Joshua Tree National Park,National Park,408600,1966
PW,CA,JOTR,Joshua Tree National Park,National Park,416500,1967
PW,CA,JOTR,Joshua Tree National Park,National Park,489400,1968
PW,CA,JOTR,Joshua Tree National Park,National Park,550300,1969
PW,CA,JOTR,Joshua Tree National Park,National Park,643000,1970
PW,CA,JOTR,Joshua Tree National Park,National Park,576000,1971
PW,CA,JOTR,Joshua Tree National Park,National Park,602752,1972
PW,CA,JOTR,Joshua Tree National Park,National Park,589600,1973
PW,CA,JOTR,Joshua Tree National Park,National Park,509900,1974
PW,CA,JOTR,Joshua Tree National Park,National Park,552200,1975
PW,CA,JOTR,Joshua Tree National Park,National Park,728900,1976
PW,CA,JOTR,Joshua Tree National Park,National Park,745600,1977
PW,CA,JOTR,Joshua Tree National Park,National Park,602453,1978
PW,CA,JOTR,Joshua Tree National Park,National Park,590543,1979
PW,CA,JOTR,Joshua Tree National Park,National Park,545357,1980
PW,CA,JOTR,Joshua Tree National Park,National Park,612966,1981
PW,CA,JOTR,Joshua Tree National Park,National Park,673201,1982
PW,CA,JOTR,Joshua Tree National Park,National Park,671426,1983
PW,CA,JOTR,Joshua Tree National Park,National Park,663798,1984
PW,CA,JOTR,Joshua Tree National Park,National Park,641172,1985
PW,CA,JOTR,Joshua Tree National Park,National Park,783224,1986
PW,CA,JOTR,Joshua Tree National Park,National Park,830085,1987
PW,CA,JOTR,Joshua Tree National Park,National Park,955246,1988
PW,CA,JOTR,Joshua Tree National Park,National Park,990214,1989
PW,CA,JOTR,Joshua Tree National Park,National Park,1022396,1990
PW,CA,JOTR,Joshua Tree National Park,National Park,1145458,1991
PW,CA,JOTR,Joshua Tree National Park,National Park,1220539,1992
PW,CA,JOTR,Joshua Tree National Park,National Park,1252401,1993
PW,CA,JOTR,Joshua Tree National Park,National Park,1184871,1994
PW,CA,JOTR,Joshua Tree National Park,National Park,1235702,1995
PW,CA,JOTR,Joshua Tree National Park,National Park,1095046,1996
PW,CA,JOTR,Joshua Tree National Park,National Park,1226273,1997
PW,CA,JOTR,Joshua Tree National Park,National Park,1410312,1998
PW,CA,JOTR,Joshua Tree National Park,National Park,1316340,1999
PW,CA,JOTR,Joshua Tree National Park,National Park,1233935,2000
PW,CA,JOTR,Joshua Tree National Park,National Park,1280917,2001
PW,CA,JOTR,Joshua Tree National Park,National Park,1178376,2002
PW,CA,JOTR,Joshua Tree National Park,National Park,1283346,2003
PW,CA,JOTR,Joshua Tree National Park,National Park,1243659,2004
PW,CA,JOTR,Joshua Tree National Park,National Park,1375111,2005
PW,CA,JOTR,Joshua Tree National Park,National Park,1256421,2006
PW,CA,JOTR,Joshua Tree National Park,National Park,1298979,2007
PW,CA,JOTR,Joshua Tree National Park,National Park,1392446,2008
PW,CA,JOTR,Joshua Tree National Park,National Park,1304471,2009
PW,CA,JOTR,Joshua Tree National Park,National Park,1434976,2010
PW,CA,JOTR,Joshua Tree National Park,National Park,1396237,2011
PW,CA,JOTR,Joshua Tree National Park,National Park,1396117,2012
PW,CA,JOTR,Joshua Tree National Park,National Park,1383340,2013
PW,CA,JOTR,Joshua Tree National Park,National Park,1589904,2014
PW,CA,JOTR,Joshua Tree National Park,National Park,2025756,2015
PW,CA,JOTR,Joshua Tree National Park,National Park,2505286,2016
PW,CA,KICA,Kings Canyon National Park,National Park,1000,1904
PW,CA,KICA,Kings Canyon National Park,National Park,1000,1905
PW,CA,KICA,Kings Canyon National Park,National Park,900,1906
PW,CA,KICA,Kings Canyon National Park,National Park,1100,1907
PW,CA,KICA,Kings Canyon National Park,National Park,1773,1908
PW,CA,KICA,Kings Canyon National Park,National Park,798,1909
PW,CA,KICA,Kings Canyon National Park,National Park,1178,1910
PW,CA,KICA,Kings Canyon National Park,National Park,2160,1911
PW,CA,KICA,Kings Canyon National Park,National Park,2240,1912
PW,CA,KICA,Kings Canyon National Park,National Park,2756,1913
PW,CA,KICA,Kings Canyon National Park,National Park,3735,1914
PW,CA,KICA,Kings Canyon National Park,National Park,10523,1915
PW,CA,KICA,Kings Canyon National Park,National Park,15360,1916
PW,CA,KICA,Kings Canyon National Park,National Park,17390,1917
PW,CA,KICA,Kings Canyon National Park,National Park,15496,1918
PW,CA,KICA,Kings Canyon National Park,National Park,21574,1919
PW,CA,KICA,Kings Canyon National Park,National Park,19661,1920
PW,CA,KICA,Kings Canyon National Park,National Park,30312,1921
PW,CA,KICA,Kings Canyon National Park,National Park,50456,1922
PW,CA,KICA,Kings Canyon National Park,National Park,46230,1923
PW,CA,KICA,Kings Canyon National Park,National Park,35020,1924
PW,CA,KICA,Kings Canyon National Park,National Park,40517,1925
PW,CA,KICA,Kings Canyon National Park,National Park,50597,1926
PW,CA,KICA,Kings Canyon National Park,National Park,47996,1927
PW,CA,KICA,Kings Canyon National Park,National Park,51988,1928
PW,CA,KICA,Kings Canyon National Park,National Park,44783,1929
PW,CA,KICA,Kings Canyon National Park,National Park,43547,1930
PW,CA,KICA,Kings Canyon National Park,National Park,51995,1931
PW,CA,KICA,Kings Canyon National Park,National Park,40806,1932
PW,CA,KICA,Kings Canyon National Park,National Park,50081,1933
PW,CA,KICA,Kings Canyon National Park,National Park,66024,1934
PW,CA,KICA,Kings Canyon National Park,National Park,116739,1935
PW,CA,KICA,Kings Canyon National Park,National Park,148568,1936
PW,CA,KICA,Kings Canyon National Park,National Park,157810,1937
PW,CA,KICA,Kings Canyon National Park,National Park,148116,1938
PW,CA,KICA,Kings Canyon National Park,National Park,161080,1939
PW,CA,KICA,Kings Canyon National Park,National Park,201545,1940
PW,CA,KICA,Kings Canyon National Park,National Park,173587,1941
PW,CA,KICA,Kings Canyon National Park,National Park,97745,1942
PW,CA,KICA,Kings Canyon National Park,National Park,60651,1943
PW,CA,KICA,Kings Canyon National Park,National Park,35203,1944
PW,CA,KICA,Kings Canyon National Park,National Park,82442,1945
PW,CA,KICA,Kings Canyon National Park,National Park,221990,1946
PW,CA,KICA,Kings Canyon National Park,National Park,236687,1947
PW,CA,KICA,Kings Canyon National Park,National Park,279231,1948
PW,CA,KICA,Kings Canyon National Park,National Park,294021,1949
PW,CA,KICA,Kings Canyon National Park,National Park,337840,1950
PW,CA,KICA,Kings Canyon National Park,National Park,450031,1951
PW,CA,KICA,Kings Canyon National Park,National Park,448156,1952
PW,CA,KICA,Kings Canyon National Park,National Park,435548,1953
PW,CA,KICA,Kings Canyon National Park,National Park,551500,1954
PW,CA,KICA,Kings Canyon National Park,National Park,556100,1955
PW,CA,KICA,Kings Canyon National Park,National Park,669800,1956
PW,CA,KICA,Kings Canyon National Park,National Park,638500,1957
PW,CA,KICA,Kings Canyon National Park,National Park,683900,1958
PW,CA,KICA,Kings Canyon National Park,National Park,718500,1959
PW,CA,KICA,Kings Canyon National Park,National Park,759800,1960
PW,CA,KICA,Kings Canyon National Park,National Park,748600,1961
PW,CA,KICA,Kings Canyon National Park,National Park,826100,1962
PW,CA,KICA,Kings Canyon National Park,National Park,778600,1963
PW,CA,KICA,Kings Canyon National Park,National Park,831600,1964
PW,CA,KICA,Kings Canyon National Park,National Park,848900,1965
PW,CA,KICA,Kings Canyon National Park,National Park,923400,1966
PW,CA,KICA,Kings Canyon National Park,National Park,909900,1967
PW,CA,KICA,Kings Canyon National Park,National Park,1064000,1968
PW,CA,KICA,Kings Canyon National Park,National Park,946000,1969
PW,CA,KICA,Kings Canyon National Park,National Park,1019000,1970
PW,CA,KICA,Kings Canyon National Park,National Park,887000,1971
PW,CA,KICA,Kings Canyon National Park,National Park,1051755,1972
PW,CA,KICA,Kings Canyon National Park,National Park,899300,1973
PW,CA,KICA,Kings Canyon National Park,National Park,1216800,1974
PW,CA,KICA,Kings Canyon National Park,National Park,1031500,1975
PW,CA,KICA,Kings Canyon National Park,National Park,1127900,1976
PW,CA,KICA,Kings Canyon National Park,National Park,1041000,1977
PW,CA,KICA,Kings Canyon National Park,National Park,864733,1978
PW,CA,KICA,Kings Canyon National Park,National Park,804175,1979
PW,CA,KICA,Kings Canyon National Park,National Park,819065,1980
PW,CA,KICA,Kings Canyon National Park,National Park,776850,1981
PW,CA,KICA,Kings Canyon National Park,National Park,831044,1982
PW,CA,KICA,Kings Canyon National Park,National Park,765755,1983
PW,CA,KICA,Kings Canyon National Park,National Park,937262,1984
PW,CA,KICA,Kings Canyon National Park,National Park,874456,1985
PW,CA,KICA,Kings Canyon National Park,National Park,1028785,1986
PW,CA,KICA,Kings Canyon National Park,National Park,1081172,1987
PW,CA,KICA,Kings Canyon National Park,National Park,1007695,1988
PW,CA,KICA,Kings Canyon National Park,National Park,1037349,1989
PW,CA,KICA,Kings Canyon National Park,National Park,1062867,1990
PW,CA,KICA,Kings Canyon National Park,National Park,1071022,1991
PW,CA,KICA,Kings Canyon National Park,National Park,637446,1992
PW,CA,KICA,Kings Canyon National Park,National Park,636515,1993
PW,CA,KICA,Kings Canyon National Park,National Park,725930,1994
PW,CA,KICA,Kings Canyon National Park,National Park,832794,1995
PW,CA,KICA,Kings Canyon National Park,National Park,502749,1996
PW,CA,KICA,Kings Canyon National Park,National Park,484718,1997
PW,CA,KICA,Kings Canyon National Park,National Park,540212,1998
PW,CA,KICA,Kings Canyon National Park,National Park,559534,1999
PW,CA,KICA,Kings Canyon National Park,National Park,528987,2000
PW,CA,KICA,Kings Canyon National Park,National Park,541787,2001
PW,CA,KICA,Kings Canyon National Park,National Park,545420,2002
PW,CA,KICA,Kings Canyon National Park,National Park,555987,2003
PW,CA,KICA,Kings Canyon National Park,National Park,525035,2004
PW,CA,KICA,Kings Canyon National Park,National Park,594893,2005
PW,CA,KICA,Kings Canyon National Park,National Park,552766,2006
PW,CA,KICA,Kings Canyon National Park,National Park,580129,2007
PW,CA,KICA,Kings Canyon National Park,National Park,574870,2008
PW,CA,KICA,Kings Canyon National Park,National Park,609296,2009
PW,CA,KICA,Kings Canyon National Park,National Park,598205,2010
PW,CA,KICA,Kings Canyon National Park,National Park,566810,2011
PW,CA,KICA,Kings Canyon National Park,National Park,591033,2012
PW,CA,KICA,Kings Canyon National Park,National Park,567544,2013
PW,CA,KICA,Kings Canyon National Park,National Park,502268,2014
PW,CA,KICA,Kings Canyon National Park,National Park,468106,2015
PW,CA,KICA,Kings Canyon National Park,National Park,607479,2016
PW,CA,LAVO,Lassen Volcanic National Park,National Park,8500,1917
PW,CA,LAVO,Lassen Volcanic National Park,National Park,2000,1918
PW,CA,LAVO,Lassen Volcanic National Park,National Park,2500,1919
PW,CA,LAVO,Lassen Volcanic National Park,National Park,2000,1920
PW,CA,LAVO,Lassen Volcanic National Park,National Park,10000,1921
PW,CA,LAVO,Lassen Volcanic National Park,National Park,10000,1922
PW,CA,LAVO,Lassen Volcanic National Park,National Park,9500,1923
PW,CA,LAVO,Lassen Volcanic National Park,National Park,12500,1924
PW,CA,LAVO,Lassen Volcanic National Park,National Park,12596,1925
PW,CA,LAVO,Lassen Volcanic National Park,National Park,18739,1926
PW,CA,LAVO,Lassen Volcanic National Park,National Park,20089,1927
PW,CA,LAVO,Lassen Volcanic National Park,National Park,26057,1928
PW,CA,LAVO,Lassen Volcanic National Park,National Park,26106,1929
PW,CA,LAVO,Lassen Volcanic National Park,National Park,31755,1930
PW,CA,LAVO,Lassen Volcanic National Park,National Park,56833,1931
PW,CA,LAVO,Lassen Volcanic National Park,National Park,41723,1932
PW,CA,LAVO,Lassen Volcanic National Park,National Park,45577,1933
PW,CA,LAVO,Lassen Volcanic National Park,National Park,51906,1934
PW,CA,LAVO,Lassen Volcanic National Park,National Park,52294,1935
PW,CA,LAVO,Lassen Volcanic National Park,National Park,76971,1936
PW,CA,LAVO,Lassen Volcanic National Park,National Park,86757,1937
PW,CA,LAVO,Lassen Volcanic National Park,National Park,73005,1938
PW,CA,LAVO,Lassen Volcanic National Park,National Park,100880,1939
PW,CA,LAVO,Lassen Volcanic National Park,National Park,104619,1940
PW,CA,LAVO,Lassen Volcanic National Park,National Park,109272,1941
PW,CA,LAVO,Lassen Volcanic National Park,National Park,48144,1942
PW,CA,LAVO,Lassen Volcanic National Park,National Park,18971,1943
PW,CA,LAVO,Lassen Volcanic National Park,National Park,19060,1944
PW,CA,LAVO,Lassen Volcanic National Park,National Park,45225,1945
PW,CA,LAVO,Lassen Volcanic National Park,National Park,99067,1946
PW,CA,LAVO,Lassen Volcanic National Park,National Park,149848,1947
PW,CA,LAVO,Lassen Volcanic National Park,National Park,160707,1948
PW,CA,LAVO,Lassen Volcanic National Park,National Park,172496,1949
PW,CA,LAVO,Lassen Volcanic National Park,National Park,183815,1950
PW,CA,LAVO,Lassen Volcanic National Park,National Park,203609,1951
PW,CA,LAVO,Lassen Volcanic National Park,National Park,212550,1952
PW,CA,LAVO,Lassen Volcanic National Park,National Park,225328,1953
PW,CA,LAVO,Lassen Volcanic National Park,National Park,282400,1954
PW,CA,LAVO,Lassen Volcanic National Park,National Park,304400,1955
PW,CA,LAVO,Lassen Volcanic National Park,National Park,303800,1956
PW,CA,LAVO,Lassen Volcanic National Park,National Park,327300,1957
PW,CA,LAVO,Lassen Volcanic National Park,National Park,346700,1958
PW,CA,LAVO,Lassen Volcanic National Park,National Park,379900,1959
PW,CA,LAVO,Lassen Volcanic National Park,National Park,401800,1960
PW,CA,LAVO,Lassen Volcanic National Park,National Park,460000,1961
PW,CA,LAVO,Lassen Volcanic National Park,National Park,399000,1962
PW,CA,LAVO,Lassen Volcanic National Park,National Park,369300,1963
PW,CA,LAVO,Lassen Volcanic National Park,National Park,407700,1964
PW,CA,LAVO,Lassen Volcanic National Park,National Park,400300,1965
PW,CA,LAVO,Lassen Volcanic National Park,National Park,462500,1966
PW,CA,LAVO,Lassen Volcanic National Park,National Park,358300,1967
PW,CA,LAVO,Lassen Volcanic National Park,National Park,442800,1968
PW,CA,LAVO,Lassen Volcanic National Park,National Park,435700,1969
PW,CA,LAVO,Lassen Volcanic National Park,National Park,466600,1970
PW,CA,LAVO,Lassen Volcanic National Park,National Park,447400,1971
PW,CA,LAVO,Lassen Volcanic National Park,National Park,504641,1972
PW,CA,LAVO,Lassen Volcanic National Park,National Park,496200,1973
PW,CA,LAVO,Lassen Volcanic National Park,National Park,408700,1974
PW,CA,LAVO,Lassen Volcanic National Park,National Park,444500,1975
PW,CA,LAVO,Lassen Volcanic National Park,National Park,461400,1976
PW,CA,LAVO,Lassen Volcanic National Park,National Park,381200,1977
PW,CA,LAVO,Lassen Volcanic National Park,National Park,442192,1978
PW,CA,LAVO,Lassen Volcanic National Park,National Park,380014,1979
PW,CA,LAVO,Lassen Volcanic National Park,National Park,394425,1980
PW,CA,LAVO,Lassen Volcanic National Park,National Park,415045,1981
PW,CA,LAVO,Lassen Volcanic National Park,National Park,414859,1982
PW,CA,LAVO,Lassen Volcanic National Park,National Park,429867,1983
PW,CA,LAVO,Lassen Volcanic National Park,National Park,463275,1984
PW,CA,LAVO,Lassen Volcanic National Park,National Park,451497,1985
PW,CA,LAVO,Lassen Volcanic National Park,National Park,439723,1986
PW,CA,LAVO,Lassen Volcanic National Park,National Park,472431,1987
PW,CA,LAVO,Lassen Volcanic National Park,National Park,495628,1988
PW,CA,LAVO,Lassen Volcanic National Park,National Park,466115,1989
PW,CA,LAVO,Lassen Volcanic National Park,National Park,460917,1990
PW,CA,LAVO,Lassen Volcanic National Park,National Park,463179,1991
PW,CA,LAVO,Lassen Volcanic National Park,National Park,468011,1992
PW,CA,LAVO,Lassen Volcanic National Park,National Park,434264,1993
PW,CA,LAVO,Lassen Volcanic National Park,National Park,385489,1994
PW,CA,LAVO,Lassen Volcanic National Park,National Park,351001,1995
PW,CA,LAVO,Lassen Volcanic National Park,National Park,351632,1996
PW,CA,LAVO,Lassen Volcanic National Park,National Park,391816,1997
PW,CA,LAVO,Lassen Volcanic National Park,National Park,318049,1998
PW,CA,LAVO,Lassen Volcanic National Park,National Park,353756,1999
PW,CA,LAVO,Lassen Volcanic National Park,National Park,374911,2000
PW,CA,LAVO,Lassen Volcanic National Park,National Park,376695,2001
PW,CA,LAVO,Lassen Volcanic National Park,National Park,388149,2002
PW,CA,LAVO,Lassen Volcanic National Park,National Park,404384,2003
PW,CA,LAVO,Lassen Volcanic National Park,National Park,379667,2004
PW,CA,LAVO,Lassen Volcanic National Park,National Park,365535,2005
PW,CA,LAVO,Lassen Volcanic National Park,National Park,388741,2006
PW,CA,LAVO,Lassen Volcanic National Park,National Park,395057,2007
PW,CA,LAVO,Lassen Volcanic National Park,National Park,377361,2008
PW,CA,LAVO,Lassen Volcanic National Park,National Park,365639,2009
PW,CA,LAVO,Lassen Volcanic National Park,National Park,384570,2010
PW,CA,LAVO,Lassen Volcanic National Park,National Park,351269,2011
PW,CA,LAVO,Lassen Volcanic National Park,National Park,407653,2012
PW,CA,LAVO,Lassen Volcanic National Park,National Park,427409,2013
PW,CA,LAVO,Lassen Volcanic National Park,National Park,432977,2014
PW,CA,LAVO,Lassen Volcanic National Park,National Park,468092,2015
PW,CA,LAVO,Lassen Volcanic National Park,National Park,536068,2016
PW,CA,PINN,Pinnacles National Park,National Park,6500,1923
PW,CA,PINN,Pinnacles National Park,National Park,8973,1924
PW,CA,PINN,Pinnacles National Park,National Park,10000,1925
PW,CA,PINN,Pinnacles National Park,National Park,10167,1926
PW,CA,PINN,Pinnacles National Park,National Park,11265,1927
PW,CA,PINN,Pinnacles National Park,National Park,13216,1928
PW,CA,PINN,Pinnacles National Park,National Park,10756,1929
PW,CA,PINN,Pinnacles National Park,National Park,11862,1930
PW,CA,PINN,Pinnacles National Park,National Park,12813,1931
PW,CA,PINN,Pinnacles National Park,National Park,14238,1932
PW,CA,PINN,Pinnacles National Park,National Park,9957,1933
PW,CA,PINN,Pinnacles National Park,National Park,20129,1934
