YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,SUBSTRATE_TYPE,PERCENT_COVER
2000,9,9/22/00,NAPL,6,40,O,B,85
2000,9,9/22/00,NAPL,7,20,I,B,90
2000,9,9/22/00,NAPL,7,20,O,B,100
2000,9,9/22/00,NAPL,7,40,I,B,100
2000,9,9/22/00,NAPL,7,40,O,B,100
2000,9,9/22/00,NAPL,8,20,I,B,100
2000,9,9/22/00,NAPL,8,20,O,B,100
2000,9,9/22/00,NAPL,8,40,I,B,85
2000,9,9/22/00,NAPL,8,40,O,B,90
2000,9,9/28/00,BULL,1,20,I,B,85
2000,9,9/28/00,BULL,1,20,O,B,60
2000,9,9/28/00,BULL,1,40,I,B,60
2000,9,9/28/00,BULL,1,40,O,B,65
2000,9,9/28/00,BULL,3,20,I,B,65
2000,9,9/28/00,BULL,3,20,O,B,50
2000,9,9/28/00,BULL,3,40,I,B,90
2000,9,9/28/00,BULL,3,40,O,B,80
2000,9,9/28/00,BULL,6,20,I,B,40
2000,9,9/28/00,BULL,6,20,O,B,50
2000,9,9/28/00,BULL,6,40,I,B,10
2000,9,9/28/00,BULL,6,40,O,B,35
2001,8,8/7/01,MOHK,1,20,I,B,80
2001,8,8/7/01,MOHK,1,20,O,B,85
2001,8,8/7/01,MOHK,1,40,I,B,85
2001,8,8/7/01,MOHK,1,40,O,B,90
2001,8,8/7/01,MOHK,2,20,I,B,95
2001,8,8/7/01,MOHK,2,20,O,B,90
2001,8,8/7/01,MOHK,2,40,I,B,85
2001,8,8/7/01,MOHK,2,40,O,B,90
2001,8,8/8/01,CARP,3,20,I,B,60
2001,8,8/8/01,CARP,3,20,O,B,60
2001,8,8/8/01,CARP,3,40,I,B,75
2001,8,8/8/01,CARP,3,40,O,B,80
2001,8,8/8/01,CARP,4,20,I,B,85
2001,8,8/8/01,CARP,4,20,O,B,90
2001,8,8/8/01,CARP,4,40,I,B,90
2001,8,8/8/01,CARP,4,40,O,B,60
2001,8,8/8/01,CARP,6,20,I,B,95
2001,8,8/8/01,CARP,6,20,O,B,80
2001,8,8/8/01,CARP,6,40,I,B,55
2001,8,8/8/01,CARP,6,40,O,B,70
2001,8,8/9/01,NAPL,1,20,I,B,100
2001,8,8/9/01,NAPL,1,20,O,B,100
2001,8,8/9/01,NAPL,1,40,I,B,95
2001,8,8/9/01,NAPL,1,40,O,B,100
2001,8,8/9/01,NAPL,2,20,I,B,95
2001,8,8/9/01,NAPL,2,20,O,B,95
2001,8,8/9/01,NAPL,2,40,I,B,100
2001,8,8/9/01,NAPL,2,40,O,B,100
2001,8,8/9/01,NAPL,3,20,I,B,100
2001,8,8/9/01,NAPL,3,20,O,B,100
2001,8,8/9/01,NAPL,3,40,I,B,95
2001,8,8/9/01,NAPL,3,40,O,B,100
2001,8,8/9/01,NAPL,4,20,I,B,0
2001,8,8/9/01,NAPL,4,20,O,B,0
2001,8,8/9/01,NAPL,4,40,I,B,0
2001,8,8/9/01,NAPL,4,40,O,B,0
2001,8,8/14/01,GOLB,1,20,I,B,10
2001,8,8/14/01,GOLB,1,20,O,B,15
2001,8,8/14/01,GOLB,1,40,I,B,20
2001,8,8/14/01,GOLB,1,40,O,B,25
2001,8,8/14/01,GOLB,2,20,I,B,5
2001,8,8/14/01,GOLB,2,20,O,B,10
2001,8,8/14/01,GOLB,2,40,I,B,50
2001,8,8/14/01,GOLB,2,40,O,B,60
2001,8,8/14/01,IVEE,1,20,I,B,30
2001,8,8/14/01,IVEE,1,20,O,B,20
2001,8,8/14/01,IVEE,1,40,I,B,25
2001,8,8/14/01,IVEE,1,40,O,B,30
2001,8,8/14/01,IVEE,2,20,I,B,65
2001,8,8/14/01,IVEE,2,20,O,B,80
2001,8,8/14/01,IVEE,2,40,I,B,80
2001,8,8/14/01,IVEE,2,40,O,B,100
2001,8,8/15/01,CARP,1,20,I,B,100
2001,8,8/15/01,CARP,1,20,O,B,100
2001,8,8/15/01,CARP,1,40,I,B,100
2001,8,8/15/01,CARP,1,40,O,B,100
2001,8,8/15/01,CARP,2,20,I,B,85
2001,8,8/15/01,CARP,2,20,O,B,95
2001,8,8/15/01,CARP,2,40,I,B,50
2001,8,8/15/01,CARP,2,40,O,B,70
2001,8,8/15/01,CARP,5,20,I,B,90
2001,8,8/15/01,CARP,5,20,O,B,60
2001,8,8/15/01,CARP,5,40,I,B,80
2001,8,8/15/01,CARP,5,40,O,B,80
2001,8,8/15/01,CARP,7,20,I,B,100
2001,8,8/15/01,CARP,7,20,O,B,75
2001,8,8/15/01,CARP,7,40,I,B,70
2001,8,8/15/01,CARP,7,40,O,B,75
2001,8,8/15/01,CARP,8,20,I,B,80
2001,8,8/15/01,CARP,8,20,O,B,80
2001,8,8/15/01,CARP,8,40,I,B,85
2001,8,8/15/01,CARP,8,40,O,B,60
2001,8,8/16/01,NAPL,5,20,I,B,95
2001,8,8/16/01,NAPL,5,20,O,B,90
2001,8,8/16/01,NAPL,5,40,I,B,80
2001,8,8/16/01,NAPL,5,40,O,B,85
2001,8,8/16/01,NAPL,6,20,I,B,90
2001,8,8/16/01,NAPL,6,20,O,B,100
2001,8,8/16/01,NAPL,6,40,I,B,60
2001,8,8/16/01,NAPL,6,40,O,B,85
2001,8,8/16/01,NAPL,7,20,I,B,90
2001,8,8/16/01,NAPL,7,20,O,B,95
2001,8,8/16/01,NAPL,7,40,I,B,100
2001,8,8/16/01,NAPL,7,40,O,B,85
2001,8,8/16/01,NAPL,8,20,I,B,100
2001,8,8/16/01,NAPL,8,20,O,B,100
2001,8,8/16/01,NAPL,8,40,I,B,90
2001,8,8/16/01,NAPL,8,40,O,B,95
2001,8,8/17/01,BULL,1,20,I,B,80
2001,8,8/17/01,BULL,1,20,O,B,65
2001,8,8/17/01,BULL,1,40,I,B,55
2001,8,8/17/01,BULL,1,40,O,B,60
2001,8,8/17/01,BULL,6,20,I,B,60
2001,8,8/17/01,BULL,6,20,O,B,40
2001,8,8/17/01,BULL,6,40,I,B,80
2001,8,8/17/01,BULL,6,40,O,B,85
2001,8,8/21/01,AQUE,1,20,I,B,35
2001,8,8/21/01,AQUE,1,20,O,B,35
2001,8,8/21/01,AQUE,1,40,I,B,50
2001,8,8/21/01,AQUE,1,40,O,B,25
2001,8,8/21/01,AQUE,2,20,I,B,20
2001,8,8/21/01,AQUE,2,20,O,B,45
2001,8,8/21/01,AQUE,2,40,I,B,25
2001,8,8/21/01,AQUE,2,40,O,B,50
2001,8,8/21/01,AQUE,3,20,I,B,10
2001,8,8/21/01,AQUE,3,20,O,B,15
2001,8,8/21/01,AQUE,3,40,I,B,10
2001,8,8/21/01,AQUE,3,40,O,B,15
2001,8,8/21/01,AQUE,4,20,I,B,35
2001,8,8/21/01,AQUE,4,20,O,B,45
2001,8,8/21/01,AQUE,4,40,I,B,65
2001,8,8/21/01,AQUE,4,40,O,B,55
2001,8,8/21/01,AQUE,5,20,I,B,50
2001,8,8/21/01,AQUE,5,20,O,B,55
2001,8,8/21/01,AQUE,5,40,I,B,35
2001,8,8/21/01,AQUE,5,40,O,B,30
2001,8,8/22/01,ABUR,1,20,I,B,25
2001,8,8/22/01,ABUR,1,20,O,B,45
2001,8,8/22/01,ABUR,1,40,I,B,30
2001,8,8/22/01,ABUR,1,40,O,B,25
2001,8,8/22/01,ABUR,2,20,I,B,50
2001,8,8/22/01,ABUR,2,20,O,B,30
2001,8,8/22/01,ABUR,2,40,I,B,40
2001,8,8/22/01,ABUR,2,40,O,B,30
2001,8,8/27/01,AHND,1,20,I,B,0
2001,8,8/27/01,AHND,1,20,O,B,0
2001,8,8/27/01,AHND,1,40,I,B,0
2001,8,8/27/01,AHND,1,40,O,B,0
2001,8,8/27/01,AHND,2,20,I,B,0
2001,8,8/27/01,AHND,2,20,O,B,5
2001,8,8/27/01,AHND,2,40,I,B,0
2001,8,8/27/01,AHND,2,40,O,B,0
2001,8,8/29/01,BULL,3,20,I,B,75
2001,8,8/29/01,BULL,3,20,O,B,90
2001,8,8/29/01,BULL,3,40,I,B,75
2001,8,8/29/01,BULL,3,40,O,B,55
2002,8,8/13/02,GOLB,1,20,I,B,45
2002,8,8/13/02,GOLB,1,20,O,B,25
2002,8,8/13/02,GOLB,1,40,I,B,25
2002,8,8/13/02,GOLB,1,40,O,B,20
2002,8,8/13/02,GOLB,2,20,I,B,20
2002,8,8/13/02,GOLB,2,20,O,B,10
2002,8,8/13/02,GOLB,2,40,I,B,40
2002,8,8/13/02,GOLB,2,40,O,B,95
2002,8,8/13/02,IVEE,1,20,I,B,25
2002,8,8/13/02,IVEE,1,20,O,B,20
2002,8,8/13/02,IVEE,1,40,I,B,55
2002,8,8/13/02,IVEE,1,40,O,B,40
2002,8,8/13/02,IVEE,2,20,I,B,70
2002,8,8/13/02,IVEE,2,20,O,B,95
2002,8,8/13/02,IVEE,2,40,I,B,65
2002,8,8/13/02,IVEE,2,40,O,B,70
2002,8,8/14/02,NAPL,3,20,I,B,100
2002,8,8/14/02,NAPL,3,20,O,B,100
2002,8,8/14/02,NAPL,3,40,I,B,100
2002,8,8/14/02,NAPL,3,40,O,B,100
2002,8,8/14/02,NAPL,4,20,I,B,15
2002,8,8/14/02,NAPL,4,20,O,B,5
2002,8,8/14/02,NAPL,4,40,I,B,0
2002,8,8/14/02,NAPL,4,40,O,B,0
2002,8,8/14/02,NAPL,5,20,I,B,95
2002,8,8/14/02,NAPL,5,20,O,B,90
2002,8,8/14/02,NAPL,5,40,I,B,90
2002,8,8/14/02,NAPL,5,40,O,B,85
2002,8,8/14/02,NAPL,6,20,I,B,95
2002,8,8/14/02,NAPL,6,20,O,B,100
2002,8,8/14/02,NAPL,6,40,I,B,80
2002,8,8/14/02,NAPL,6,40,O,B,85
2002,8,8/15/02,NAPL,1,20,I,B,95
2002,8,8/15/02,NAPL,1,20,O,B,70
2002,8,8/15/02,NAPL,1,40,I,B,80
2002,8,8/15/02,NAPL,1,40,O,B,90
2002,8,8/15/02,NAPL,2,20,I,B,70
2002,8,8/15/02,NAPL,2,20,O,B,85
2002,8,8/15/02,NAPL,2,40,I,B,80
2002,8,8/15/02,NAPL,2,40,O,B,95
2002,8,8/15/02,NAPL,7,20,I,B,100
2002,8,8/15/02,NAPL,7,20,O,B,80
2002,8,8/15/02,NAPL,7,40,I,B,100
2002,8,8/15/02,NAPL,7,40,O,B,90
2002,8,8/15/02,NAPL,8,20,I,B,85
2002,8,8/15/02,NAPL,8,20,O,B,100
2002,8,8/15/02,NAPL,8,40,I,B,70
2002,8,8/15/02,NAPL,8,40,O,B,80
2002,8,8/19/02,BULL,1,20,I,B,95
2002,8,8/19/02,BULL,1,20,O,B,80
2002,8,8/19/02,BULL,1,40,I,B,70
2002,8,8/19/02,BULL,1,40,O,B,75
2002,8,8/19/02,BULL,3,20,I,B,35
2002,8,8/19/02,BULL,3,20,O,B,55
2002,8,8/19/02,BULL,3,40,I,B,45
2002,8,8/19/02,BULL,3,40,O,B,60
2002,8,8/19/02,BULL,6,20,I,B,80
2002,8,8/19/02,BULL,6,20,O,B,60
2002,8,8/19/02,BULL,6,40,I,B,35
2002,8,8/19/02,BULL,6,40,O,B,20
2002,8,8/20/02,ABUR,1,20,I,B,5
2002,8,8/20/02,ABUR,1,20,O,B,15
2002,8,8/20/02,ABUR,1,40,I,B,5
2002,8,8/20/02,ABUR,1,40,O,B,5
2002,8,8/20/02,ABUR,2,20,I,B,5
2002,8,8/20/02,ABUR,2,20,O,B,5
2002,8,8/20/02,ABUR,2,40,I,B,0
2002,8,8/20/02,ABUR,2,40,O,B,0
2002,8,8/20/02,MOHK,1,20,I,B,100
2002,8,8/20/02,MOHK,1,20,O,B,100
2002,8,8/20/02,MOHK,1,40,I,B,100
2002,8,8/20/02,MOHK,1,40,O,B,100
2002,8,8/20/02,MOHK,2,20,I,B,80
2002,8,8/20/02,MOHK,2,20,O,B,95
2002,8,8/20/02,MOHK,2,40,I,B,55
2002,8,8/20/02,MOHK,2,40,O,B,75
2002,8,8/21/02,CARP,1,20,I,B,95
2002,8,8/21/02,CARP,1,20,O,B,80
2002,8,8/21/02,CARP,1,40,I,B,100
2002,8,8/21/02,CARP,1,40,O,B,95
2002,8,8/21/02,CARP,2,20,I,B,100
2002,8,8/21/02,CARP,2,20,O,B,95
2002,8,8/21/02,CARP,2,40,I,B,90
2002,8,8/21/02,CARP,2,40,O,B,100
2002,8,8/21/02,CARP,3,20,I,B,60
2002,8,8/21/02,CARP,3,20,O,B,55
2002,8,8/21/02,CARP,3,40,I,B,65
2002,8,8/21/02,CARP,3,40,O,B,70
2002,8,8/21/02,CARP,4,20,I,B,100
2002,8,8/21/02,CARP,4,20,O,B,100
2002,8,8/21/02,CARP,4,40,I,B,85
2002,8,8/21/02,CARP,4,40,O,B,40
2002,8,8/21/02,CARP,5,20,I,B,90
2002,8,8/21/02,CARP,5,20,O,B,85
2002,8,8/21/02,CARP,5,40,I,B,100
2002,8,8/21/02,CARP,5,40,O,B,100
2002,8,8/21/02,CARP,6,20,I,B,75
2002,8,8/21/02,CARP,6,20,O,B,70
2002,8,8/21/02,CARP,6,40,I,B,75
2002,8,8/21/02,CARP,6,40,O,B,40
2002,8,8/21/02,CARP,7,20,I,B,100
2002,8,8/21/02,CARP,7,20,O,B,80
2002,8,8/21/02,CARP,7,40,I,B,85
2002,8,8/21/02,CARP,7,40,O,B,55
2002,8,8/21/02,CARP,8,20,I,B,75
2002,8,8/21/02,CARP,8,20,O,B,70
2002,8,8/21/02,CARP,8,40,I,B,85
2002,8,8/21/02,CARP,8,40,O,B,90
2002,8,8/27/02,AQUE,1,20,I,B,85
2002,8,8/27/02,AQUE,1,20,O,B,90
2002,8,8/27/02,AQUE,1,40,I,B,80
2002,8,8/27/02,AQUE,1,40,O,B,75
2002,8,8/27/02,AQUE,2,20,I,B,55
2002,8,8/27/02,AQUE,2,20,O,B,65
2002,8,8/27/02,AQUE,2,40,I,B,20
2002,8,8/27/02,AQUE,2,40,O,B,35
2002,8,8/27/02,AQUE,3,20,I,B,20
2002,8,8/27/02,AQUE,3,20,O,B,10
2002,8,8/27/02,AQUE,3,40,I,B,15
2002,8,8/27/02,AQUE,3,40,O,B,0
2002,8,8/27/02,AQUE,6,20,I,B,55
2002,8,8/27/02,AQUE,6,20,O,B,55
2002,8,8/27/02,AQUE,6,40,I,B,55
2002,8,8/27/02,AQUE,6,40,O,B,60
2002,8,8/28/02,AHND,2,20,I,B,0
2002,8,8/28/02,AHND,2,20,O,B,0
2002,8,8/28/02,AHND,2,40,I,B,0
2002,8,8/28/02,AHND,2,40,O,B,0
2002,8,8/28/02,AQUE,4,20,I,B,55
2002,8,8/28/02,AQUE,4,20,O,B,40
2002,8,8/28/02,AQUE,4,40,I,B,55
2002,8,8/28/02,AQUE,4,40,O,B,50
2002,8,8/28/02,AQUE,5,20,I,B,100
2002,8,8/28/02,AQUE,5,20,O,B,80
2002,8,8/28/02,AQUE,5,40,I,B,75
2002,8,8/28/02,AQUE,5,40,O,B,70
2002,9,9/26/02,AHND,1,20,I,B,5
2002,9,9/26/02,AHND,1,20,O,B,0
2002,9,9/26/02,AHND,1,40,I,B,0
2002,9,9/26/02,AHND,1,40,O,B,0
2003,8,8/11/03,NAPL,1,20,I,B,100
2003,8,8/11/03,NAPL,1,20,O,B,100
2003,8,8/11/03,NAPL,1,40,I,B,95
2003,8,8/11/03,NAPL,1,40,O,B,100
2003,8,8/11/03,NAPL,2,20,I,B,100
2003,8,8/11/03,NAPL,2,20,O,B,100
2003,8,8/11/03,NAPL,2,40,I,B,100
2003,8,8/11/03,NAPL,2,40,O,B,100
2003,8,8/11/03,NAPL,3,20,I,B,100
2003,8,8/11/03,NAPL,3,20,O,B,95
2003,8,8/11/03,NAPL,3,40,I,B,100
2003,8,8/11/03,NAPL,3,40,O,B,100
2003,8,8/11/03,NAPL,4,20,I,B,5
2003,8,8/11/03,NAPL,4,20,O,B,10
2003,8,8/11/03,NAPL,4,40,I,B,5
2003,8,8/11/03,NAPL,4,40,O,B,0
2003,8,8/12/03,NAPL,5,20,I,B,95
2003,8,8/12/03,NAPL,5,20,O,B,95
2003,8,8/12/03,NAPL,5,40,I,B,30
2003,8,8/12/03,NAPL,5,40,O,B,100
2003,8,8/12/03,NAPL,6,20,I,B,95
2003,8,8/12/03,NAPL,6,20,O,B,100
2003,8,8/12/03,NAPL,6,40,I,B,80
2003,8,8/12/03,NAPL,6,40,O,B,100
2003,8,8/12/03,NAPL,7,20,I,B,85
2003,8,8/12/03,NAPL,7,20,O,B,100
2003,8,8/12/03,NAPL,7,40,I,B,100
2003,8,8/12/03,NAPL,7,40,O,B,100
2003,8,8/12/03,NAPL,8,20,I,B,100
2003,8,8/12/03,NAPL,8,20,O,B,100
2003,8,8/12/03,NAPL,8,40,I,B,90
2003,8,8/12/03,NAPL,8,40,O,B,100
2003,8,8/14/03,AHND,1,20,I,B,0
2003,8,8/14/03,AHND,1,20,O,B,0
2003,8,8/14/03,AHND,1,40,I,B,0
2003,8,8/14/03,AHND,1,40,O,B,0
2003,8,8/14/03,AHND,2,20,I,B,15
2003,8,8/14/03,AHND,2,20,O,B,5
2003,8,8/14/03,AHND,2,40,I,B,0
2003,8,8/14/03,AHND,2,40,O,B,20
2003,8,8/14/03,BULL,1,20,I,B,90
2003,8,8/14/03,BULL,1,20,O,B,45
2003,8,8/14/03,BULL,1,40,I,B,85
2003,8,8/14/03,BULL,1,40,O,B,75
2003,8,8/14/03,BULL,3,20,I,B,100
2003,8,8/14/03,BULL,3,20,O,B,95
2003,8,8/14/03,BULL,3,40,I,B,90
2003,8,8/14/03,BULL,3,40,O,B,90
2003,8,8/14/03,BULL,6,20,I,B,100
2003,8,8/14/03,BULL,6,20,O,B,100
2003,8,8/14/03,BULL,6,40,I,B,80
2003,8,8/14/03,BULL,6,40,O,B,75
2003,8,8/21/03,CARP,4,20,I,B,100
2003,8,8/21/03,CARP,4,20,O,B,95
2003,8,8/21/03,CARP,4,40,I,B,95
2003,8,8/21/03,CARP,4,40,O,B,55
2003,8,8/21/03,CARP,5,20,I,B,85
2003,8,8/21/03,CARP,5,20,O,B,80
2003,8,8/21/03,CARP,5,40,I,B,80
2003,8,8/21/03,CARP,5,40,O,B,85
2003,8,8/21/03,CARP,7,20,I,B,100
2003,8,8/21/03,CARP,7,20,O,B,90
2003,8,8/21/03,CARP,7,40,I,B,85
2003,8,8/21/03,CARP,7,40,O,B,75
2003,8,8/21/03,CARP,8,20,I,B,85
2003,8,8/21/03,CARP,8,20,O,B,75
2003,8,8/21/03,CARP,8,40,I,B,80
2003,8,8/21/03,CARP,8,40,O,B,75
2003,8,8/22/03,CARP,1,20,I,B,100
2003,8,8/22/03,CARP,1,20,O,B,100
2003,8,8/22/03,CARP,1,40,I,B,100
2003,8,8/22/03,CARP,1,40,O,B,100
2003,8,8/22/03,CARP,2,20,I,B,95
2003,8,8/22/03,CARP,2,20,O,B,95
2003,8,8/22/03,CARP,2,40,I,B,85
2003,8,8/22/03,CARP,2,40,O,B,95
2003,8,8/22/03,CARP,3,20,I,B,80
2003,8,8/22/03,CARP,3,20,O,B,90
2003,8,8/22/03,CARP,3,40,I,B,90
2003,8,8/22/03,CARP,3,40,O,B,95
2003,8,8/22/03,CARP,6,20,I,B,100
2003,8,8/22/03,CARP,6,20,O,B,45
2003,8,8/22/03,CARP,6,40,I,B,70
2003,8,8/22/03,CARP,6,40,O,B,70
2003,8,8/25/03,AQUE,1,20,I,B,100
2003,8,8/25/03,AQUE,1,20,O,B,100
2003,8,8/25/03,AQUE,1,40,I,B,90
2003,8,8/25/03,AQUE,1,40,O,B,90
2003,8,8/25/03,AQUE,2,20,I,B,75
2003,8,8/25/03,AQUE,2,20,O,B,75
2003,8,8/25/03,AQUE,2,40,I,B,50
2003,8,8/25/03,AQUE,2,40,O,B,80
2003,8,8/25/03,AQUE,3,20,I,B,35
2003,8,8/25/03,AQUE,3,20,O,B,20
2003,8,8/25/03,AQUE,3,40,I,B,5
2003,8,8/25/03,AQUE,3,40,O,B,0
2003,8,8/25/03,AQUE,4,20,I,B,55
2003,8,8/25/03,AQUE,4,20,O,B,40
2003,8,8/25/03,AQUE,4,40,I,B,55
2003,8,8/25/03,AQUE,4,40,O,B,65
2003,8,8/25/03,AQUE,5,20,I,B,75
2003,8,8/25/03,AQUE,5,20,O,B,70
2003,8,8/25/03,AQUE,5,40,I,B,50
2003,8,8/25/03,AQUE,5,40,O,B,45
2003,8,8/25/03,AQUE,6,20,I,B,40
2003,8,8/25/03,AQUE,6,20,O,B,75
2003,8,8/25/03,AQUE,6,40,I,B,60
2003,8,8/25/03,AQUE,6,40,O,B,35
2003,8,8/26/03,GOLB,1,20,I,B,35
2003,8,8/26/03,GOLB,1,20,O,B,40
2003,8,8/26/03,GOLB,1,40,I,B,80
2003,8,8/26/03,GOLB,1,40,O,B,70
2003,8,8/26/03,GOLB,2,20,I,B,15
2003,8,8/26/03,GOLB,2,20,O,B,15
2003,8,8/26/03,GOLB,2,40,I,B,40
2003,8,8/26/03,GOLB,2,40,O,B,55
2003,8,8/26/03,IVEE,1,20,I,B,5
2003,8,8/26/03,IVEE,1,20,O,B,15
2003,8,8/26/03,IVEE,1,40,I,B,35
2003,8,8/26/03,IVEE,1,40,O,B,20
2003,8,8/26/03,IVEE,2,20,I,B,30
2003,8,8/26/03,IVEE,2,20,O,B,40
2003,8,8/26/03,IVEE,2,40,I,B,15
2003,8,8/26/03,IVEE,2,40,O,B,25
2003,8,8/27/03,ABUR,1,20,I,B,0
2003,8,8/27/03,ABUR,1,20,O,B,0
2003,8,8/27/03,ABUR,1,40,I,B,0
2003,8,8/27/03,ABUR,1,40,O,B,0
2003,8,8/27/03,ABUR,2,20,I,B,0
2003,8,8/27/03,ABUR,2,20,O,B,0
2003,8,8/27/03,ABUR,2,40,I,B,0
2003,8,8/27/03,ABUR,2,40,O,B,0
2003,8,8/27/03,MOHK,1,20,I,B,100
2003,8,8/27/03,MOHK,1,20,O,B,95
2003,8,8/27/03,MOHK,1,40,I,B,100
2003,8,8/27/03,MOHK,1,40,O,B,85
2003,8,8/27/03,MOHK,2,20,I,B,95
2003,8,8/27/03,MOHK,2,20,O,B,100
2003,8,8/27/03,MOHK,2,40,I,B,95
2003,8,8/27/03,MOHK,2,40,O,B,100
2004,7,7/19/04,NAPL,1,20,I,B,100
2004,7,7/19/04,NAPL,1,20,O,B,100
2004,7,7/19/04,NAPL,1,40,I,B,100
2004,7,7/19/04,NAPL,1,40,O,B,95
2004,7,7/19/04,NAPL,2,20,I,B,100
2004,7,7/19/04,NAPL,2,20,O,B,100
2004,7,7/19/04,NAPL,2,40,I,B,100
2004,7,7/19/04,NAPL,2,40,O,B,100
2004,7,7/19/04,NAPL,3,20,I,B,100
2004,7,7/19/04,NAPL,3,20,O,B,100
2004,7,7/19/04,NAPL,3,40,I,B,95
2004,7,7/19/04,NAPL,3,40,O,B,100
2004,7,7/19/04,NAPL,4,20,I,B,0
2004,7,7/19/04,NAPL,4,20,O,B,5
2004,7,7/19/04,NAPL,4,40,I,B,5
2004,7,7/19/04,NAPL,4,40,O,B,15
2004,7,7/20/04,NAPL,5,20,I,B,85
2004,7,7/20/04,NAPL,5,20,O,B,75
2004,7,7/20/04,NAPL,5,40,I,B,85
2004,7,7/20/04,NAPL,5,40,O,B,75
2004,7,7/20/04,NAPL,6,20,I,B,95
2004,7,7/20/04,NAPL,6,20,O,B,100
2004,7,7/20/04,NAPL,6,40,I,B,75
2004,7,7/20/04,NAPL,6,40,O,B,95
2004,7,7/20/04,NAPL,7,20,I,B,95
2004,7,7/20/04,NAPL,7,20,O,B,95
2004,7,7/20/04,NAPL,7,40,I,B,100
2004,7,7/20/04,NAPL,7,40,O,B,100
2004,7,7/20/04,NAPL,8,20,I,B,100
2004,7,7/20/04,NAPL,8,20,O,B,100
2004,7,7/20/04,NAPL,8,40,I,B,90
2004,7,7/20/04,NAPL,8,40,O,B,90
2004,7,7/21/04,GOLB,1,20,I,B,85
2004,7,7/21/04,GOLB,1,20,O,B,85
2004,7,7/21/04,GOLB,1,40,I,B,95
2004,7,7/21/04,GOLB,1,40,O,B,85
2004,7,7/21/04,GOLB,2,20,I,B,35
2004,7,7/21/04,GOLB,2,20,O,B,30
2004,7,7/21/04,GOLB,2,40,I,B,90
2004,7,7/21/04,GOLB,2,40,O,B,85
2004,7,7/21/04,IVEE,1,20,I,B,10
2004,7,7/21/04,IVEE,1,20,O,B,0
2004,7,7/21/04,IVEE,1,40,I,B,25
2004,7,7/21/04,IVEE,1,40,O,B,20
2004,7,7/21/04,IVEE,2,20,I,B,85
2004,7,7/21/04,IVEE,2,20,O,B,85
2004,7,7/21/04,IVEE,2,40,I,B,75
2004,7,7/21/04,IVEE,2,40,O,B,95
2004,7,7/22/04,ABUR,1,20,I,B,10
